,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,type_token_ratio,dependency_depth_mean,dependency_depth_std,file_name,n_tokens_once_in_courpus,Number,Filename,edited,Type of text,Description,Number of words,Link,owner,retrieval date,Link text Google docs,type of language,idioms,lexical ambiguity,syntactic ambiguity,metaphores + figurative language,unique unknown words,total unknown words,Unnamed: 17,Notes/Comments,Check Laura?,Check Lenneke?,"Lenneke's rating (e.g. is the text ""good"" --> interesting/informative and well written). 1 = very bad, 5 = very good",text_type
24,879,343,0.3902161547212742,3599,52,3.8350398179749714,3.0,2.12013500482577,16.903846153846153,13.0,10.726063898073802,3.1942410784042417,1.2216658940963419,0.37979087747439927,0.08608514190709067,0.3902161547212742,4.423076923076923,1.4590059029531275,de_oude_sultan,47,11,De oude sultan,,Fairy tale ,"A story about an old dog who, with the help of a wolf, was still able to prove to his master that he is useful",849,https://www.grimmstories.com/nl/grimm_sprookjes/de_oude_sultan,Lenneke,2023-10-06,De oude sultan,Modern,0,0,1,1,0,0,,"Lenneke: I changed idiom into figurative language, as the expression is not conventionalized. ",Yes,Yes,4,fairy tale
25,966,340,0.35196687370600416,3820,62,3.770186335403727,3.0,2.0749370432365075,15.580645161290322,14.0,10.294922624373212,3.017654391500417,1.3050698802063312,0.36964456946124175,0.12426700692065207,0.35196687370600416,4.290322580645161,1.3840927711564472,de_oude_vrouw_in_het_bos,38,16,De oude vrouw in het bos,,Fairy tale ,A story about a girl who freed a prince from an old woman's curse in the forest ,905,https://www.grimmstories.com/nl/grimm_sprookjes/de_oude_vrouw_in_het_bos,Lenneke,2023-10-06,De oude vrouw in het bos,Modern,0,0,0,0,1,1,,,Yes,Yes,3,fairy tale
26,965,419,0.43419689119170984,4981,45,4.985492227979274,4.0,3.2558909370525675,21.444444444444443,20.0,16.202270836117805,2.8900107213588777,1.4646071798751292,0.36922093818449064,0.12942280956193852,0.43419689119170984,5.155555555555556,2.308973370286318,de_spaanschen_brabander,115,76,De Spaanschen Brabander,,Synopsis Play,"A synopsis and analysis of the play ""de Spaanschen Brabander"" by Bredero",879,https://nl.wikipedia.org/wiki/Spaanschen_Brabander,Laura,2023-10-22,De Spaanschen Brabander,Modern,2,0,0,4,1,1,,Laura: Maybe well known? Lenneke: This is not only a synopsis but also an analysis of the story. ,Yes,Yes,1,synopsis play
27,874,335,0.38329519450800914,3904,37,4.332951945080092,4.0,2.5964486800749227,23.62162162162162,20.0,14.655229398467112,3.4746143202528326,1.36702913162761,0.35389651155859425,0.11355998785844164,0.38329519450800914,5.297297297297297,1.706345310017794,de_spiegel_van_matsuyama,59,2,De Spiegel van Matsuyama,,Fairy tale,A girl gets a magic mirror in which she can see her deceased mother,801,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,2023-10-06,De Spiegel van Matsuyama,Old spelling,0,0,1,0,0,0,,,Yes,Yes,3,fairy tale
28,858,370,0.43123543123543123,3772,41,4.178321678321678,4.0,2.3804068091768977,20.926829268292682,16.0,16.07814793954741,3.6087971823171436,1.5313866836784529,0.3530502740232907,0.11144937138491665,0.43123543123543123,4.780487804878049,1.9192502997957075,de_uil,74,17,De uil,,Fairy tale,A story about an owl in a barn that everyone was afraid of,806,https://www.grimmstories.com/nl/grimm_sprookjes/de_uil,Lenneke,2023-10-06,De uil,Modern,0,0,0,3,0,0,,,Yes,Yes,4,fairy tale
29,970,409,0.4216494845360825,4292,40,4.3051546391752575,4.0,2.41722219094907,24.25,22.5,12.997595931555958,3.523306719285788,1.0221761936788039,0.37945575633533124,0.05735610904777727,0.4216494845360825,5.275,1.3962002005443204,de_waanzinnige_koning,92,22,De waanzinnige koning,,Fairy tale,A story about a greedy king who even wanted to defeat God,892,https://www.andersenstories.com/nl/andersen_sprookjes/de_waanzinnige_koning,Lenneke,2023-10-06,De waanzinnige koning,Modern,1,0,0,4,0,0,,"Lenneke: conventional idiom ""aan iemands voeten liggen"" is used in a literal way. The story also includes symbolism (7 years means a very long period of time).",Yes,Yes,4,fairy tale
30,939,360,0.38338658146964855,4169,50,4.268370607028754,3.0,2.550944323263977,18.78,20.5,12.549565729538214,3.0807761089589007,1.6578687162352035,0.3050166489546173,0.1346868872892182,0.38338658146964855,4.64,2.2517548712060114,de_witte_haas_van_inaba,65,3,De Witte Haas van Inaba,,Fairy tale,"81 brothers all want to marry the same princess, the one who helped the rabbit won",857,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,2023-10-06,De Witte Haas van Inaba,Old spelling,0,0,0,0,1,1,,,Yes,Yes,3,fairy tale
31,931,352,0.37808807733619765,3878,50,4.012889366272825,4.0,2.227608556114534,18.62,16.0,12.59347450070869,3.2801474308140603,1.2987208391671374,0.36773263711290577,0.09728242868654724,0.37808807733619765,4.6,1.4966629547095767,de_zeven_raven,46,8,De zeven raven,,Fairy tale ,A story about seven sons turned into ravens by their father,863,https://www.grimmstories.com/nl/grimm_sprookjes/de_zeven_raven,Lenneke,2023-10-06,De zeven raven,Modern,1,0,0,0,0,0,,,Yes,Yes,3,fairy tale
32,975,403,0.41333333333333333,4220,68,4.1405128205128205,4.0,2.2879281285981223,14.338235294117647,10.0,17.34223872355114,2.5037291671278687,1.4587091561643493,0.30570244926509055,0.15194945069867125,0.41333333333333333,3.7941176470588234,2.0332444626711017,de_zilveren_schaatsen,88,47,De zilveren schaatsen,,Novel,An excerpt from a novel. A brother and sister going out to ice skate,894,https://www.gutenberg.org/cache/epub/60777/pg60777-images.html,Laura,2023-10-09,De zilveren schaatsen,Old spelling,0,0,0,0,1,1,,,Yes,Yes,3,novel
33,919,395,0.42981501632208924,4025,67,4.189336235038085,4.0,2.3448727422781794,13.716417910447761,11.0,11.10977244974227,2.715013812128444,1.2707228784844882,0.37015328109671614,0.09076443415109405,0.42981501632208924,4.08955223880597,1.5330327301622493,dirk_trom,76,49,Dirk Trom,,Novel,An excerpt from a novel. Dirk Trom is born,851,https://www.gutenberg.org/cache/epub/69163/pg69163-images.html,Laura,2023-10-09,Dirk Trom,Old spelling,0,0,0,1,1,7,,Lenneke: maybe a too well known story.,Yes,Yes,2,novel
34,1136,484,0.426056338028169,6083,68,5.159330985915493,4.0,3.589421210006244,16.705882352941178,16.0,11.427596658874686,2.6605328128009833,1.3748126609971205,0.3800076924690464,0.14936764576400655,0.426056338028169,4.573529411764706,2.137316737727528,erytropoëtine,172,29,Erytropoëtine,,Technical text,A technical/biological text about Erythropoietin,1030 (but some paragraphs can be cut easily),https://nl.wikipedia.org/wiki/Erytropoëtine,Lenneke,2023-10-09,Erytropoëtine,Modern,0,0,0,0,3,8,,,Yes,Yes,2,technical text
35,1973,754,0.382159148504815,10724,102,5.3568170299037,4.0,3.889294233605099,19.34313725490196,18.0,13.705941961776741,2.825807154528071,1.3438043410949707,0.36780587581508445,0.1304899492374021,0.382159148504815,4.980392156862745,2.1096435539314142,gentrificatie,249,34,Gentrificatie,,Technical text,A technical/informative text about the phenomenon: gentrification,1774 (but some paragraphs can be cut easily),https://nl.wikipedia.org/wiki/Gentrificatie,Lenneke,2023-10-09,Gentrificatie,Modern,0,0,0,0,2,5,,,Yes,Yes,3,technical text
36,909,414,0.45544554455445546,4597,52,4.936193619361936,4.0,3.350828548002882,17.48076923076923,16.0,8.212304053663777,2.9508638099858633,0.9329981537047459,0.3870247030099595,0.08562474616070069,0.45544554455445546,4.75,1.39883193030141,geschiedenis_van_londen,131,45,Geschiedenis van Londen,,History,History of London,835,https://nl.wikipedia.org/wiki/Londen,Laura,2023-10-09,Geschiedenis van Londen,Modern,1,0,0,0,0,0,,,Yes,Yes,3,history
37,1049,357,0.340324118207817,5665,63,5.264061010486177,4.0,3.6090997031660224,16.650793650793652,14.0,11.354544199275153,2.749664278908603,1.2934817349485712,0.36285259955341853,0.11641262615544191,0.340324118207817,4.349206349206349,1.9692777675264537,glaciaal_tijdperk,60,26,Glaciaal (tijdperk),,Technical text,A technical/geographical text about glacials ,947,https://nl.wikipedia.org/wiki/Glaciaal_(tijdperk),Lenneke,2023-10-08,Glaciaal (tijdperk),Modern,0,0,0,0,5,5,,,Yes,Yes,3,technical text
38,960,343,0.3572916666666667,4556,62,4.63125,4.0,2.7792876972646545,15.483870967741936,14.0,8.013581083997483,2.9699879572474734,0.9927027846630815,0.36748514798743387,0.09415388820428278,0.3572916666666667,4.532258064516129,1.29163239971106,herinneringen_en_gros,62,79,Herinneringen en gros,,Synopsis sciencefiction story,"A synopsis of the sciencefiction story ""Herinneringen en gros""",879,https://nl.wikipedia.org/wiki/Herinneringen_en_gros,Lenneke,2023-10-23,Herinneringen en gros,Modern,0,0,0,2,1,2,,,Yes,Yes,3,synopsis sciencefiction story
39,873,358,0.41008018327605955,3958,30,4.404352806414662,4.0,2.515533291899054,29.1,29.0,14.253303710602209,3.942148918474615,1.5252427254881817,0.3494920024656745,0.10327545436784523,0.41008018327605955,5.6,1.854723699099141,het_dooden_van_de_zeeslang,62,5,Het Dooden van de Zeeslang,,Fairy tale,"A girl volunteers to sacrifice herself to the serpent god, then kills it",797,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,2023-10-06,Het Dooden van de Zeeslang,Old spelling,0,0,0,0,0,0,,,Yes,Yes,3,fairy tale
40,993,406,0.40886203423967776,4756,65,4.686807653575025,4.0,3.078953861039608,15.276923076923078,14.0,9.47467505804929,2.657302609488765,1.1082299383550458,0.3663333290886772,0.135462080197974,0.40886203423967776,4.430769230769231,1.8310924084502191,het_geheimzinnige_eiland,89,78,Het geheimzinnige eiland,,Synopsis roman,"A synopsis of the book ""Het geheimzinnige eiland""",908,https://nl.wikipedia.org/wiki/Het_geheimzinnige_eiland,Lenneke,2023-10-23,Het geheimzinnige eiland,Modern,0,0,0,0,3,3,,,Yes,Yes,3,synopsis roman
41,941,401,0.4261424017003188,5454,49,5.6726886291179595,5.0,4.037705930271542,19.20408163265306,20.0,10.277734189740887,2.72187419199319,1.0140903732469888,0.36557960466801653,0.11146120994458317,0.4261424017003188,5.3061224489795915,1.8205637345440175,het_immuunsysteem,129,56,Het immuunsysteem,,Technical text,A technical/informative text about the immune system,859,https://nl.wikipedia.org/wiki/Immuunsysteem,Laura,2023-10-10,Het immuunsysteem,Modern,0,0,0,0,1,1,,,Yes,Yes,3,technical text
42,986,352,0.35699797160243407,4153,65,4.063894523326572,3.0,2.453414775755821,15.169230769230769,15.0,9.013783002916625,2.9606329512170775,1.198884637819102,0.36123395325870467,0.10693612916612151,0.35699797160243407,4.276923076923077,1.564094157186318,het_meisje_met_de_zwavelstokjes,67,12,Het meisje met de zwavelstokjes,,Fairy tale,A little girl freezes to death while trying to warm herself with matches,907,https://www.andersenstories.com/nl/andersen_sprookjes/het_meisje_met_de_zwavelstokjes,Laura,2023-10-06,Het meisje met de zwavelstokjes,Modern,0,0,0,1,0,0,,Lenneke: maybe a too well known fairy tale (Efteling attraction),Yes,Yes,2,fairy tale
43,871,334,0.38346727898966704,3800,47,4.2353616532721015,3.0,2.6595474656883624,18.53191489361702,15.0,13.52987405994096,3.1739262082284734,1.2318671123481848,0.36317511737562086,0.08719785418128835,0.38346727898966704,4.574468085106383,1.6209359110417796,het_spaarvarken,53,21,Het spaarvarken,,Fairy tale,A story of a full piggy bank that broke down,806,https://www.andersenstories.com/nl/andersen_sprookjes/het_spaarvarken,Lenneke,2023-10-06,Het spaarvarken,Modern,0,0,1,0,1,1,,,Yes,Yes,3,fairy tale
44,960,349,0.36354166666666665,4202,57,4.175,4.0,2.6113933062639183,16.842105263157894,16.0,8.552807015744527,3.165654451680064,1.0198215913102995,0.3648767987743423,0.0819151029786033,0.36354166666666665,4.526315789473684,1.2298233100576763,het_winterkoninkje_en_de_beer,48,7,Het winterkoninkje en de beer,,Fairy tale ,Een verhaal over een beer die ruzie krijgt met de kinderen van de koning van alle vogels (winterkoninkje),891,https://www.grimmstories.com/nl/grimm_sprookjes/het_winterkoninkje_en_de_beer,Lenneke,2023-10-06,Het winterkoninkje en de beer,Modern,0,0,0,1,0,0,,,Yes,Yes,3,fairy tale
45,951,329,0.3459516298633018,3999,58,4.013669821240799,4.0,2.1696749218203886,16.396551724137932,15.0,10.368951756237786,3.117197959879915,1.2717660103237123,0.3877149053212884,0.10180745498029517,0.3459516298633018,4.448275862068965,1.3153262843283209,jorinde_en_joringel,39,15,Jorinde en Joringel,,Fairy tale ,A story about a love couple who were taken apart by a witch,888,https://www.grimmstories.com/nl/grimm_sprookjes/jorinde_en_joringel,Lenneke,2023-10-06,Jorinde en Joringel,Modern,0,0,0,1,1,1,,,Yes,Yes,4,fairy tale
46,878,349,0.39749430523917995,4053,43,4.439635535307517,4.0,2.7171732353833247,20.41860465116279,18.0,14.52701182183061,3.3155885971871997,1.693312303115697,0.33580178531497956,0.12904106884533556,0.39749430523917995,4.6976744186046515,2.0292613356626497,kadzutoyo_en_de_das,54,4,Kadzutoyo en de Das,,Fairy tale,"Kadzutoyo kills a helpless girl, that does not seem to be human after all",799,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,2023-10-06,Kadzutoyo en de Das,Old spelling,0,0,0,1,0,0,,,Yes,Yes,3,fairy tale
47,1167,372,0.31876606683804626,5998,83,5.012853470437018,4.0,3.3041750222257917,14.060240963855422,13.0,11.117498849328838,2.4824663395341395,1.3155046857509176,0.36505158470319593,0.136128361665767,0.31876606683804626,4.180722891566265,1.8829903051996775,kieming,97,36,Kieming,,Technical text,A technical/biological text about germination,1054 (but some paragraphs can be cut easily),https://nl.wikipedia.org/wiki/Kieming,Lenneke,2023-10-09,Kieming,Modern,0,0,0,0,5,10,,,Yes,Yes,3,technical text
